EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,DistanceFromHome,Education,EmployeeCount,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,Mean_In_Time,Mean_Out_Time,Mean_Duration_Hours,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married
20,1.0,1.0,3.0,38,8,3,1,1,0.07799426405949923,1.0,11,8,1,8.0,5,8,7,7,3,3,10.02138888888889,19.135833333333334,9.114207942882642,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,3.0,2.0,1.0,26,1,4,1,2,0.8380304013097835,1.0,18,8,0,6.0,3,6,1,4,3,3,9.987499999999999,17.524166666666666,7.536694556001785,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
22,1.0,2.0,2.0,50,8,4,1,1,0.6722970529577506,3.0,23,8,0,28.0,2,10,1,6,2,4,9.988888888888889,16.03611111111111,6.047161981258367,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23,3.0,3.0,2.0,53,11,4,1,2,-0.9253299294255,3.0,11,8,0,21.0,2,5,1,3,3,3,10.001666666666667,18.291666666666668,8.2897880410531,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,2.0,3.0,3.0,42,4,4,1,1,0.5148503720233193,1.0,14,8,0,10.0,4,20,11,6,1,3,9.994444444444444,16.801666666666666,6.807176483712628,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
25,2.0,4.0,2.0,29,16,4,1,1,0.002139385390684174,1.0,11,8,1,10.0,2,10,0,9,3,3,9.967777777777778,17.046111111111113,7.078234047300312,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
26,2.0,4.0,3.0,55,1,4,1,1,0.06290827978642957,3.0,11,8,0,12.0,2,10,0,8,3,3,10.023055555555556,19.299166666666668,9.275969433288711,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
27,1.0,1.0,3.0,26,9,3,1,1,2.0797556420396304,1.0,22,8,0,5.0,3,5,3,3,3,4,10.004166666666666,20.8125,10.808265283355645,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28,4.0,4.0,3.0,37,5,1,1,1,-0.8069793204100099,1.0,11,8,0,17.0,2,17,5,7,3,3,9.986666666666666,17.545,7.558544176706827,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
29,4.0,3.0,1.0,44,1,2,1,2,0.8138078350121787,3.0,14,8,1,19.0,2,1,0,0,2,3,10.014444444444445,20.886944444444445,10.872392904953147,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
30,4.0,4.0,3.0,38,2,3,1,1,-0.4366290304387363,9.0,12,8,0,10.0,3,2,1,2,2,3,9.987499999999999,16.81638888888889,6.828881079875056,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1.0,2.0,3.0,26,4,3,1,3,0.07459460563176523,2.0,11,8,0,5.0,5,3,0,2,2,3,10.002777777777778,19.95861111111111,9.955860107095047,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
32,4.0,4.0,3.0,28,7,3,1,1,0.6659226934057493,1.0,13,8,0,5.0,6,5,0,2,2,3,9.97638888888889,16.68777777777778,6.7113241856314145,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
33,3.0,1.0,3.0,49,1,1,1,2,-0.6187232349742391,9.0,13,8,0,22.0,2,3,1,2,3,3,10.004722222222222,20.297222222222224,10.292493306559573,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
34,3.0,2.0,3.0,36,5,3,1,3,-0.2332869607298959,4.0,14,8,0,10.0,2,8,7,7,3,3,9.969444444444445,16.168055555555558,6.198582106202588,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
35,4.0,2.0,2.0,31,9,4,1,1,-0.38648406862965967,1.0,16,8,1,2.0,4,2,2,2,3,3,10.031666666666668,16.63611111111111,6.604509147701918,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
36,4.0,4.0,3.0,26,8,3,1,2,1.972666401566009,1.0,12,8,2,8.0,5,8,7,4,3,3,9.945555555555556,19.972777777777775,10.027177599286032,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
37,2.0,4.0,2.0,37,9,1,1,1,-1.06004139462446,1.0,14,8,0,4.0,3,4,1,2,3,3,10.00611111111111,19.895,9.88886546184739,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
38,3.0,2.0,4.0,42,2,2,1,3,-0.7536471788249326,5.0,13,8,0,23.0,2,20,4,8,3,3,10.008333333333333,16.049722222222226,6.041309683177153,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
39,3.0,3.0,3.0,18,1,4,1,1,-0.8855964215513588,1.0,14,8,2,0.0,3,0,0,0,2,3,9.990277777777777,16.769166666666667,6.779042838018741,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40,3.0,2.0,2.0,35,20,2,1,1,-0.2866191023149732,0.0,19,8,0,12.0,2,11,6,9,2,3,10.024444444444445,17.692777777777778,7.668289825970549,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
41,3.0,3.0,3.0,36,8,3,1,3,0.09754230001896978,4.0,12,8,2,4.0,2,1,0,0,2,3,10.034444444444444,17.236666666666668,7.2021753681392235,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
42,4.0,2.0,3.0,51,2,3,1,2,-0.17591772476188453,5.0,13,8,0,13.0,2,4,1,2,2,3,10.047777777777778,17.58972222222222,7.542010263275324,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
43,4.0,2.0,3.0,41,29,1,1,1,-0.8762473608750903,1.0,12,8,0,22.0,6,22,0,4,3,3,9.998888888888889,16.94361111111111,6.944576082106202,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
44,4.0,3.0,3.0,18,7,3,1,1,-0.5717654529411631,1.0,15,8,0,0.0,3,0,0,0,3,3,9.95861111111111,16.975555555555555,7.017072735385988,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
45,2.0,1.0,3.0,28,9,3,1,1,-0.39413330009206116,0.0,23,8,2,9.0,2,8,0,7,2,4,9.979166666666666,17.17388888888889,7.194753458277554,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
46,2.0,4.0,2.0,31,8,1,1,1,-0.7578967518596,4.0,12,8,1,10.0,2,8,7,7,3,3,10.011944444444444,17.168333333333333,7.156407853636769,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
47,3.0,4.0,2.0,39,5,4,1,2,-0.9344665114500351,0.0,20,8,0,19.0,3,18,3,7,3,4,9.98,17.585555555555555,7.605294511378848,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
48,2.0,2.0,3.0,36,5,4,1,1,0.44090780122010464,7.0,21,8,0,11.0,4,9,0,8,3,4,10.0,17.776944444444442,7.776861892012494,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
49,4.0,3.0,2.0,32,2,3,1,2,-0.8067668417582764,1.0,21,8,1,13.0,4,13,4,8,3,4,10.016666666666667,16.966666666666665,6.949944221329763,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
50,1.0,2.0,3.0,38,5,2,1,3,-0.025270360682921267,3.0,19,8,2,19.0,4,10,0,1,2,3,9.988055555555555,16.88861111111111,6.900614680946006,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
51,4.0,3.0,3.0,58,2,3,1,2,-0.5386187832707565,2.0,13,8,2,12.0,3,5,1,2,2,3,9.990277777777777,20.778888888888886,10.788475011155734,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
52,3.0,4.0,3.0,31,20,1,1,3,0.7232919293737607,0.0,13,8,1,6.0,3,5,0,3,2,3,9.988333333333333,18.99361111111111,9.00504239178938,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
53,1.0,1.0,3.0,31,7,4,1,2,1.4282960958251008,3.0,21,8,1,9.0,2,2,1,0,3,4,9.986944444444443,16.8175,6.8306793842034805,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
54,1.0,1.0,3.0,45,3,1,1,1,-0.6295596462126413,1.0,13,8,0,24.0,6,24,9,11,3,3,10.005,17.294444444444448,7.289500223114681,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,3.0,4.0,1.0,31,16,4,1,2,-0.7859439338884057,0.0,19,8,2,3.0,0,2,2,2,3,3,10.005,18.57638888888889,8.571635430611336,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
56,4.0,2.0,3.0,33,9,3,1,4,2.738651941064828,6.0,12,8,1,12.0,3,10,8,8,3,3,10.001388888888888,16.776944444444442,6.775595716198127,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
57,3.0,1.0,3.0,39,1,4,1,1,2.7966586129880393,1.0,22,8,1,21.0,6,21,11,10,3,4,10.025,20.94527777777778,10.92012271307452,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
58,3.0,4.0,3.0,43,7,4,1,4,-0.8634986417710877,0.0,15,8,0,9.0,2,8,1,7,3,3,10.000833333333333,17.613333333333333,7.6123616688978135,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
59,3.0,3.0,3.0,49,1,3,1,3,0.17233478542911795,7.0,22,8,0,25.0,2,7,0,7,3,4,10.01,19.88361111111111,9.873583221775993,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
60,3.0,2.0,2.0,52,7,1,1,2,-0.36736098997365585,2.0,18,8,1,11.0,2,8,7,7,3,3,9.976666666666667,17.83361111111111,7.857109549308344,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
61,3.0,2.0,2.0,27,15,4,1,3,-0.5526423742851593,1.0,22,8,0,4.0,2,4,1,2,3,4,9.991944444444444,20.581944444444446,10.590025658188308,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
62,3.0,2.0,3.0,32,1,3,1,3,-0.8161159024345449,1.0,11,8,1,13.0,6,13,11,9,4,3,10.006666666666666,20.350555555555555,10.343974788041054,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
63,4.0,3.0,3.0,27,13,2,1,4,-0.7748950439982701,1.0,12,8,2,5.0,5,5,0,4,4,3,10.010277777777778,19.842222222222222,9.831947791164659,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
64,4.0,4.0,3.0,31,24,3,1,2,-1.1520446508250117,4.0,11,8,3,13.0,4,7,1,7,4,3,9.989722222222222,16.602500000000003,6.61293618920125,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,1.0,4.0,2.0,32,7,3,1,2,-0.8564868462638863,7.0,13,8,0,10.0,2,7,0,7,3,3,9.99472222222222,17.447777777777777,7.45306113342258,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
66,1.0,4.0,2.0,28,9,4,1,1,-0.17634268206535125,5.0,14,8,1,5.0,4,3,2,2,2,3,10.015,20.70861111111111,10.69371709058456,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
67,4.0,4.0,3.0,30,13,3,1,4,-0.4899611720238135,1.0,13,8,0,11.0,3,10,1,9,3,3,10.001944444444444,16.236944444444447,6.234989959839358,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68,3.0,3.0,3.0,31,2,1,1,1,0.6820710709374859,1.0,17,8,0,10.0,5,10,8,9,2,3,10.009444444444444,16.633055555555558,6.623616688978135,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
69,3.0,4.0,3.0,39,19,4,1,1,-0.9436030934745703,1.0,13,8,0,21.0,4,21,13,3,3,3,10.020277777777778,16.1425,6.122307005800981,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
70,4.0,3.0,2.0,39,1,1,1,1,-0.47147552932300985,4.0,17,8,1,12.0,0,1,0,0,3,3,9.998333333333333,19.935,9.936703480589022,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
71,2.0,4.0,2.0,33,4,2,1,4,-0.3643862888493886,3.0,11,8,1,9.0,0,7,0,1,3,3,10.008888888888889,17.41361111111111,7.404557117358322,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
72,4.0,3.0,3.0,47,4,3,1,2,-0.12683515621147476,4.0,23,8,0,21.0,4,3,1,1,4,4,10.016944444444444,16.526666666666667,6.50975011155734,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,3.0,3.0,4.0,43,14,3,1,5,-0.5560420327128933,1.0,17,8,2,9.0,2,9,0,0,3,3,10.029444444444445,16.3475,6.318095716198126,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
74,3.0,2.0,3.0,27,2,3,1,1,2.192794284761786,0.0,17,8,0,6.0,3,5,1,4,3,3,10.02638888888889,19.145555555555553,9.11910642570281,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
75,4.0,3.0,2.0,54,1,4,1,2,-0.7585341878148002,3.0,12,8,2,20.0,2,4,0,3,3,3,10.001666666666667,16.144166666666667,6.142583668005355,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
76,3.0,1.0,2.0,43,7,2,1,2,-0.0006228370818497077,8.0,23,8,0,10.0,3,1,0,0,3,4,10.019166666666667,17.215,7.19580879071843,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
77,4.0,4.0,3.0,45,3,1,1,1,2.2673742915202006,9.0,14,8,1,12.0,6,10,9,8,3,3,10.010555555555555,17.09861111111111,7.088126952253458,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
78,2.0,4.0,2.0,40,2,4,1,4,-0.3123290191747116,2.0,14,8,2,6.0,6,4,0,2,3,3,10.005555555555556,19.690555555555555,9.685023427041498,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
79,2.0,1.0,2.0,29,29,3,1,1,-0.8915458237998932,1.0,13,8,1,7.0,0,7,0,7,3,3,9.98472222222222,20.180833333333336,10.196199241410085,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
80,2.0,4.0,3.0,29,8,3,1,3,-0.8320518013145481,0.0,22,8,2,4.0,3,3,2,2,3,4,10.009166666666667,16.905277777777776,6.89599509147702,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
81,4.0,3.0,3.0,30,10,3,1,2,-0.2116141382530916,1.0,12,8,2,10.0,2,10,1,2,2,3,9.985555555555555,17.510277777777777,7.524549308344489,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
82,2.0,2.0,3.0,27,11,2,1,1,-0.44831535628407193,1.0,18,8,1,8.0,2,8,0,7,2,3,9.993333333333332,16.086944444444445,6.09349509147702,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
83,4.0,4.0,2.0,37,1,4,1,2,1.454430969988306,7.0,14,8,0,8.0,4,6,0,4,3,3,9.99611111111111,16.039166666666667,6.042863676929942,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,3.0,4.0,3.0,38,28,4,1,1,0.01701289101202046,0.0,12,8,0,12.0,1,11,2,9,3,3,10.024722222222223,18.944166666666668,8.919539268183847,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
85,3.0,4.0,3.0,31,6,3,1,3,0.33998044164675123,1.0,15,8,1,11.0,5,11,4,10,3,3,9.975555555555555,20.246111111111112,10.270607987505578,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
86,4.0,2.0,3.0,29,3,4,1,3,-0.5364939967534228,1.0,11,8,0,7.0,0,7,1,7,3,3,9.979722222222222,18.333333333333332,8.353732708612227,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,3.0,2.0,3.0,35,16,2,1,3,-0.8411883833390833,0.0,13,8,1,17.0,3,16,0,13,4,3,9.955833333333333,17.803333333333335,7.84760151717983,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
88,3.0,4.0,2.0,23,20,4,1,1,-0.23456183264029615,1.0,23,8,0,4.0,2,4,0,2,2,4,10.01388888888889,17.104166666666668,7.090407184292727,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
89,4.0,2.0,3.0,41,9,2,1,1,-0.2158637112877591,6.0,19,8,2,8.0,0,5,1,2,3,3,10.014722222222222,19.580277777777777,9.565527666220438,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,2.0,3.0,3.0,47,1,3,1,2,0.07034503259709772,3.0,16,8,1,5.0,2,0,0,0,4,3,9.988055555555555,17.720277777777778,7.7323984828201695,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
91,1.0,4.0,3.0,42,3,4,1,1,-1.149919864307678,2.0,22,8,0,16.0,0,1,0,0,1,4,9.996388888888887,16.309444444444445,6.313073404730032,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
92,4.0,3.0,2.0,29,22,4,1,2,-0.1629565270061486,1.0,22,8,0,4.0,1,4,0,2,2,4,10.012222222222222,16.338055555555556,6.326008478357876,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
93,3.0,3.0,3.0,42,7,4,1,3,-0.9087565945902967,0.0,12,8,1,4.0,3,3,1,0,2,3,10.007777777777777,18.66638888888889,8.658680276662205,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
94,3.0,2.0,3.0,32,2,3,1,2,-0.16061926183708147,1.0,13,8,0,8.0,0,8,0,7,3,3,10.000277777777777,17.63888888888889,7.638418116912093,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
95,1.0,3.0,1.0,48,13,4,1,4,0.7120305608318918,3.0,16,8,1,15.0,2,0,0,0,2,3,9.97638888888889,17.249444444444446,7.272888219544846,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
96,3.0,1.0,3.0,37,8,5,1,2,-0.22011328432242663,4.0,12,8,0,13.0,2,7,6,7,3,3,9.978333333333333,20.7425,10.763998215082552,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
97,4.0,3.0,4.0,30,25,4,1,1,-0.2385989270232303,7.0,21,8,1,4.0,0,2,2,2,3,4,9.971666666666668,20.311944444444446,10.340137215528781,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
98,3.0,3.0,3.0,26,28,3,1,5,-0.2872565382701733,1.0,15,8,3,8.0,3,8,7,7,3,3,9.992777777777777,16.011388888888888,6.018802989736725,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
99,1.0,4.0,3.0,42,2,2,1,1,-0.9285171092015007,3.0,13,8,2,14.0,2,1,0,0,3,3,9.98861111111111,16.140833333333333,6.152052655064703,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
100,1.0,2.0,3.0,21,9,3,1,4,2.416321826385297,1.0,12,8,0,3.0,5,3,1,2,2,3,9.999722222222221,18.102500000000003,8.102892681838465,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
101,4.0,4.0,3.0,36,28,3,1,2,-0.8649859923332214,4.0,22,8,0,7.0,4,1,0,0,1,4,9.9725,17.252222222222223,7.279716644355199,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
102,1.0,4.0,3.0,36,6,3,1,2,-0.367998425928856,4.0,13,8,1,16.0,2,13,1,12,3,3,9.994444444444444,17.084166666666665,7.08962739848282,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
103,4.0,3.0,3.0,57,21,4,1,5,2.689569372514418,2.0,18,8,0,15.0,2,3,1,2,1,3,10.003055555555555,16.358611111111113,6.355687193217313,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
104,4.0,3.0,3.0,40,8,3,1,2,-0.30085517198110934,3.0,14,8,1,10.0,3,7,1,7,3,3,9.996388888888887,18.043055555555558,8.046603078982598,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
105,1.0,4.0,2.0,21,1,5,1,2,-0.7734076934361365,1.0,14,8,0,3.0,2,3,2,2,1,3,9.987222222222222,17.871111111111112,7.883829763498438,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,4.0,3.0,3.0,33,28,2,1,5,-0.20014029105948933,1.0,21,8,1,1.0,3,1,0,0,1,4,10.008055555555556,20.253888888888888,10.245840026773761,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
